SymmetricIProfile,,,,,
CatalogueName,Depth,Width,WebThickness,FlangeThickness,RootRadius
RHS 180x100x7.1 #,0.18,0.1,0.0071,0.0071,
RHS 180x100x8 #,0.18,0.1,0.008,0.008,
RHS 180x100x8.8 #,0.18,0.1,0.0088,0.0088,
RHS 180x100x10 #,0.18,0.1,0.01,0.01,
RHS 180x100x12.5 #,0.18,0.1,0.0125,0.0125,
RHS 200x100x4 #,0.2,0.1,0.004,0.004,
RHS 200x100x5,0.2,0.1,0.005,0.005,
RHS 200x100x6.3,0.2,0.1,0.0063,0.0063,
RHS 200x100x7.1 #,0.2,0.1,0.0071,0.0071,
RHS 200x100x8,0.2,0.1,0.008,0.008,
RHS 200x100x8.8 #,0.2,0.1,0.0088,0.0088,
RHS 200x100x10,0.2,0.1,0.01,0.01,
RHS 200x100x12.5,0.2,0.1,0.0125,0.0125,
RHS 200x100x14.2 #,0.2,0.1,0.0142,0.0142,
RHS 200x100x16 # r,0.2,0.1,0.016,0.016,
RHS 200x120x5 #,0.2,0.12,0.005,0.005,
RHS 200x120x6.3,0.2,0.12,0.0063,0.0063,
RHS 200x120x7.1 #,0.2,0.12,0.0071,0.0071,
RHS 200x120x8,0.2,0.12,0.008,0.008,
RHS 200x120x8.8 #,0.2,0.12,0.0088,0.0088,
RHS 200x120x10,0.2,0.12,0.01,0.01,
RHS 200x120x12.5 #,0.2,0.12,0.0125,0.0125,
RHS 200x120x14.2 #,0.2,0.12,0.0142,0.0142,
RHS 200x120x16 #,0.2,0.12,0.016,0.016,
RHS 200x150x5 #,0.2,0.15,0.005,0.005,
RHS 200x150x6.3 #,0.2,0.15,0.0063,0.0063,
RHS 200x150x7.1 #,0.2,0.15,0.0071,0.0071,
RHS 200x150x8,0.2,0.15,0.008,0.008,
RHS 200x150x8.8 #,0.2,0.15,0.0088,0.0088,
RHS 200x150x10,0.2,0.15,0.01,0.01,
RHS 200x150x12.5 #,0.2,0.15,0.0125,0.0125,
RHS 200x150x14.2 #,0.2,0.15,0.0142,0.0142,
RHS 200x150x16 #,0.2,0.15,0.016,0.016,
RHS 220x120x5 #,0.22,0.12,0.005,0.005,
RHS 220x120x6.3 #,0.22,0.12,0.0063,0.0063,
RHS 220x120x7.1 #,0.22,0.12,0.0071,0.0071,
RHS 220x120x8 #,0.22,0.12,0.008,0.008,
RHS 220x120x8.8 #,0.22,0.12,0.0088,0.0088,
RHS 220x120x10 #,0.22,0.12,0.01,0.01,
RHS 220x120x12.5 #,0.22,0.12,0.0125,0.0125,
RHS 220x120x14.2 #,0.22,0.12,0.0142,0.0142,
RHS 220x120x16 #,0.22,0.12,0.016,0.016,
RHS 250x100x5 #,0.25,0.1,0.005,0.005,
RHS 250x100x6.3 #,0.25,0.1,0.0063,0.0063,
RHS 250x100x7.1 #,0.25,0.1,0.0071,0.0071,
RHS 250x100x8 #,0.25,0.1,0.008,0.008,
RHS 250x100x8.8 #,0.25,0.1,0.0088,0.0088,
RHS 250x100x10 #,0.25,0.1,0.01,0.01,
RHS 250x100x12.5 #,0.25,0.1,0.0125,0.0125,
RHS 250x100x14.2 #,0.25,0.1,0.0142,0.0142,
RHS 250x100x16 #,0.25,0.1,0.016,0.016,
RHS 250x150x5 #,0.25,0.15,0.005,0.005,
RHS 250x150x6.3,0.25,0.15,0.0063,0.0063,
RHS 250x150x7.1 #,0.25,0.15,0.0071,0.0071,
RHS 250x150x8,0.25,0.15,0.008,0.008,
RHS 250x150x8.8 #,0.25,0.15,0.0088,0.0088,
RHS 250x150x10,0.25,0.15,0.01,0.01,
RHS 250x150x12.5,0.25,0.15,0.0125,0.0125,
RHS 250x150x14.2 #,0.25,0.15,0.0142,0.0142,
RHS 250x150x16,0.25,0.15,0.016,0.016,
RHS 250x200x10 #,0.25,0.2,0.01,0.01,
RHS 250x200x12.5 #,0.25,0.2,0.0125,0.0125,
RHS 260x140x5 #,0.26,0.14,0.005,0.005,
RHS 260x140x6.3 #,0.26,0.14,0.0063,0.0063,
RHS 260x140x7.1 #,0.26,0.14,0.0071,0.0071,
RHS 260x140x8 #,0.26,0.14,0.008,0.008,
RHS 260x140x8.8 #,0.26,0.14,0.0088,0.0088,
RHS 260x140x10 #,0.26,0.14,0.01,0.01,
RHS 260x140x12.5 #,0.26,0.14,0.0125,0.0125,
RHS 260x140x14.2 #,0.26,0.14,0.0142,0.0142,
RHS 260x140x16 #,0.26,0.14,0.016,0.016,
RHS 260x180x8 #,0.26,0.18,0.008,0.008,
RHS 260x180x10 #,0.26,0.18,0.01,0.01,
RHS 260x180x12 #,0.26,0.18,0.012,0.012,
RHS 300x100x5 #,0.3,0.1,0.005,0.005,
RHS 300x100x6.3 #,0.3,0.1,0.0063,0.0063,
RHS 300x100x7.1 #,0.3,0.1,0.0071,0.0071,
RHS 300x100x8,0.3,0.1,0.008,0.008,
RHS 300x100x8.8 #,0.3,0.1,0.0088,0.0088,
RHS 300x100x10,0.3,0.1,0.01,0.01,
RHS 300x100x12.5 #,0.3,0.1,0.0125,0.0125,
RHS 300x100x14.2 #,0.3,0.1,0.0142,0.0142,
RHS 300x100x16 #,0.3,0.1,0.016,0.016,
RHS 300x150x8 # rr,0.3,0.15,0.008,0.008,
